State,Year,Quarter,Brand,RegisteredUsers,AppOpens
andaman-&-nicobar-islands,2018,1,Xiaomi,1665,0
andaman-&-nicobar-islands,2018,1,Samsung,1445,0
andaman-&-nicobar-islands,2018,1,Vivo,982,0
andaman-&-nicobar-islands,2018,1,Oppo,501,0
andaman-&-nicobar-islands,2018,1,OnePlus,332,0
andaman-&-nicobar-islands,2018,1,Realme,316,0
andaman-&-nicobar-islands,2018,1,Apple,229,0
andaman-&-nicobar-islands,2018,1,Motorola,226,0
andaman-&-nicobar-islands,2018,1,Lenovo,202,0
andaman-&-nicobar-islands,2018,1,Huawei,158,0
andaman-&-nicobar-islands,2018,1,Others,684,0
andaman-&-nicobar-islands,2018,2,Xiaomi,2303,0
andaman-&-nicobar-islands,2018,2,Samsung,1923,0
andaman-&-nicobar-islands,2018,2,Vivo,1523,0
andaman-&-nicobar-islands,2018,2,Oppo,708,0
andaman-&-nicobar-islands,2018,2,OnePlus,466,0
andaman-&-nicobar-islands,2018,2,Realme,465,0
andaman-&-nicobar-islands,2018,2,Motorola,319,0
andaman-&-nicobar-islands,2018,2,Apple,308,0
andaman-&-nicobar-islands,2018,2,Lenovo,244,0
andaman-&-nicobar-islands,2018,2,Huawei,230,0
andaman-&-nicobar-islands,2018,2,Others,916,0
andaman-&-nicobar-islands,2018,3,Xiaomi,2950,0
andaman-&-nicobar-islands,2018,3,Samsung,2409,0
andaman-&-nicobar-islands,2018,3,Vivo,2063,0
andaman-&-nicobar-islands,2018,3,Oppo,988,0
andaman-&-nicobar-islands,2018,3,OnePlus,617,0
andaman-&-nicobar-islands,2018,3,Realme,603,0
andaman-&-nicobar-islands,2018,3,Motorola,390,0
andaman-&-nicobar-islands,2018,3,Apple,371,0
andaman-&-nicobar-islands,2018,3,Huawei,314,0
andaman-&-nicobar-islands,2018,3,Lenovo,299,0
andaman-&-nicobar-islands,2018,3,Others,1145,0
andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0
andaman-&-nicobar-islands,2018,4,Samsung,2936,0
andaman-&-nicobar-islands,2018,4,Vivo,2742,0
andaman-&-nicobar-islands,2018,4,Oppo,1268,0
andaman-&-nicobar-islands,2018,4,Realme,760,0
andaman-&-nicobar-islands,2018,4,OnePlus,721,0
andaman-&-nicobar-islands,2018,4,Motorola,474,0
andaman-&-nicobar-islands,2018,4,Apple,455,0
andaman-&-nicobar-islands,2018,4,Huawei,398,0
andaman-&-nicobar-islands,2018,4,Lenovo,377,0
andaman-&-nicobar-islands,2018,4,Others,1372,0
andaman-&-nicobar-islands,2019,1,Xiaomi,4576,0
andaman-&-nicobar-islands,2019,1,Samsung,3567,0
andaman-&-nicobar-islands,2019,1,Vivo,3420,0
andaman-&-nicobar-islands,2019,1,Oppo,1600,0
andaman-&-nicobar-islands,2019,1,Realme,897,0
andaman-&-nicobar-islands,2019,1,OnePlus,855,0
andaman-&-nicobar-islands,2019,1,Motorola,561,0
andaman-&-nicobar-islands,2019,1,Apple,515,0
andaman-&-nicobar-islands,2019,1,Huawei,515,0
andaman-&-nicobar-islands,2019,1,Lenovo,426,0
andaman-&-nicobar-islands,2019,1,Others,1664,0
andaman-&-nicobar-islands,2019,2,Xiaomi,5296,52640
andaman-&-nicobar-islands,2019,2,Samsung,4165,52640
andaman-&-nicobar-islands,2019,2,Vivo,4102,52640
andaman-&-nicobar-islands,2019,2,Oppo,1905,52640
andaman-&-nicobar-islands,2019,2,Realme,1012,52640
andaman-&-nicobar-islands,2019,2,OnePlus,950,52640
andaman-&-nicobar-islands,2019,2,Huawei,644,52640
andaman-&-nicobar-islands,2019,2,Motorola,630,52640
andaman-&-nicobar-islands,2019,2,Apple,569,52640
andaman-&-nicobar-islands,2019,2,Lenovo,477,52640
andaman-&-nicobar-islands,2019,2,Others,1981,52640
andaman-&-nicobar-islands,2019,3,Xiaomi,5819,171107
andaman-&-nicobar-islands,2019,3,Vivo,4685,171107
andaman-&-nicobar-islands,2019,3,Samsung,4508,171107
andaman-&-nicobar-islands,2019,3,Oppo,2108,171107
andaman-&-nicobar-islands,2019,3,Realme,1158,171107
andaman-&-nicobar-islands,2019,3,OnePlus,1045,171107
andaman-&-nicobar-islands,2019,3,Huawei,725,171107
andaman-&-nicobar-islands,2019,3,Motorola,660,171107
andaman-&-nicobar-islands,2019,3,Apple,630,171107
andaman-&-nicobar-islands,2019,3,Lenovo,483,171107
andaman-&-nicobar-islands,2019,3,Others,2110,171107
andaman-&-nicobar-islands,2019,4,Xiaomi,6259,177012
andaman-&-nicobar-islands,2019,4,Vivo,5190,177012
andaman-&-nicobar-islands,2019,4,Samsung,4900,177012
andaman-&-nicobar-islands,2019,4,Oppo,2329,177012
andaman-&-nicobar-islands,2019,4,Realme,1329,177012
andaman-&-nicobar-islands,2019,4,OnePlus,1124,177012
andaman-&-nicobar-islands,2019,4,Huawei,798,177012
andaman-&-nicobar-islands,2019,4,Motorola,682,177012
andaman-&-nicobar-islands,2019,4,Apple,678,177012
andaman-&-nicobar-islands,2019,4,Lenovo,488,177012
andaman-&-nicobar-islands,2019,4,Others,2183,177012
andaman-&-nicobar-islands,2020,1,Xiaomi,6803,193586
andaman-&-nicobar-islands,2020,1,Vivo,5880,193586
andaman-&-nicobar-islands,2020,1,Samsung,5335,193586
andaman-&-nicobar-islands,2020,1,Oppo,2557,193586
andaman-&-nicobar-islands,2020,1,Realme,1511,193586
andaman-&-nicobar-islands,2020,1,OnePlus,1184,193586
andaman-&-nicobar-islands,2020,1,Huawei,891,193586
andaman-&-nicobar-islands,2020,1,Apple,735,193586
andaman-&-nicobar-islands,2020,1,Motorola,715,193586
andaman-&-nicobar-islands,2020,1,Lenovo,500,193586
